molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL87685,O=C(O)[C@H](S)Cc1ccccc1,7.07
CHEMBL314563,O=C(O)[C@H](S)Cc1ccc(-c2ccccc2)cc1,7.24
CHEMBL87857,O=C(S[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1,5.6
CHEMBL87757,O=C(O)[C@@H](S)Cc1ccc2oc3ccccc3c2c1,6.6
CHEMBL88072,O=C(O)[C@@H](S)Cc1ccc(-c2ccccc2)cc1,5.92
CHEMBL61559,COc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(OC)c1,5.33
CHEMBL1494120,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccc(Cl)cc2)cn1,5.11
CHEMBL1698008,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])o2)cc1,4.95
CHEMBL1964993,O=[N+]([O-])c1ccc(N/N=C/C=C/c2ccco2)cc1,5.38
CHEMBL131037,COc1ccc(OC)c2c1C(=O)C(Cl)=C(Cl)C2=O,5.17
CHEMBL1319026,COc1ccc(C(=O)c2sc3nc(C)cc(-c4cccs4)c3c2N)cc1OC,5.05
CHEMBL1504077,O=C(Nc1ccc(F)cc1)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,5.26
CHEMBL1416020,Cc1ccc(C(=O)N/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)NCCCN(C)C)cc1,5.18
CHEMBL1611182,O=[N+]([O-])c1c(Nc2cccc(O)c2)cc(Cl)c2nonc12,4.95
CHEMBL1474143,Oc1ccc2nnc3c(Br)cnn3c2c1,5.18
CHEMBL1971127,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(C[C@@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(C[C@@H](C)CC)nn3)CC2)n1,5.15
CHEMBL1971913,O=C(O)C(F)(F)F.c1cc(SC2CCCCC2)cc(-c2nc3cnccn3c2NC2CCCCC2)c1,5.32
CHEMBL1865393,COc1ccccc1N(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O,5.27
CHEMBL1416184,O=[N+]([O-])c1c(NCCO)cc(Sc2nc3ccccc3s2)c2nonc12,5.04
CHEMBL167542,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,5.2
CHEMBL1699845,O=C1C(Cl)=C(Oc2ccccc2)C(=O)c2ccccc21,4.99
CHEMBL1409883,CCCNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,4.81
CHEMBL1487952,CCOC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,5.08
CHEMBL1319461,CCCN1C(=O)/C(=C/c2ccc(N3CCCC3)c(C)c2)NC1=S,5.18
CHEMBL1458470,NNC(=O)c1oc2nc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c2c1N,5.42
CHEMBL505670,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,5.12
CHEMBL1458548,CCCNC(=O)c1nnsc1S(=O)(=O)c1ccc(Cl)cc1,4.79
CHEMBL1720248,CCN(CC)c1ccc(C=NNc2ccc([N+](=O)[O-])cn2)cc1,5.35
CHEMBL1386978,COc1ccc(C(=O)c2sc3nc(-c4ccccc4)ccc3c2N)cc1OC,5.24
CHEMBL1307050,CCc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,4.92
CHEMBL1573150,O=C(C1=NN(c2ccccc2)C2C(=O)N(c3ccc(Cl)cc3)C(=O)C12)c1ccccc1,4.93
CHEMBL1543956,CCN(CC)c1ccc(/C=C/C(=O)C2C(=O)C=C(C)OC2=O)cc1,5.31
CHEMBL1337235,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(N3CCOCC3)cc2)n1,4.99
CHEMBL1498308,CCN(CC)c1ccc(-c2nc3cnccn3c2NC2CCCC2)cc1,5.28
CHEMBL1890919,COc1ccc(OC)c(C=Cc2ccc([N+](=O)[O-])cc2)c1,5.09
CHEMBL1319867,O=[N+]([O-])c1c(Nc2ccccc2O)cc(Cl)c2nonc12,4.74
CHEMBL1436864,O=C(NCc1cccc(F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.49
CHEMBL1526126,O=[N+]([O-])c1ccc(C2=NN(c3ccccc3)C(c3ccco3)C2)cc1,5.58
CHEMBL1315948,CCc1ccc(Nc2n[n+](-c3ccccc3)c(-c3c(Cl)cccc3Cl)s2)cc1.[Cl-],5.5
CHEMBL1984584,O=[N+]([O-])c1ccc(N/N=C/c2c[nH]c3ccccc23)cc1,4.99
CHEMBL1534390,O=[N+]([O-])c1ccc(N2N=C(c3ccccc3)CC2c2ccccc2O)cc1,5.34
CHEMBL1359902,COc1ccc(C(=O)/C=C/C(=O)N(CC(=O)NC2CCCCC2)CC2CCCO2)c(O)c1,4.63
CHEMBL1420325,CS(=O)(=O)c1sc(C#N)c2c1C(=O)CC(c1ccccc1)C2,5.15
CHEMBL3197908,COc1ccc2nc(C)cc(N/N=C/c3ccc(F)cc3)c2c1,5.67
CHEMBL1340895,COc1cc2c3nnc(-c4ccc(F)cc4)c-3cn(Cc3cccc(C)c3)c2cc1OC,5.41
CHEMBL1517505,Nc1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,5.21
CHEMBL1459316,CC1C/C(=C/c2cccn2C)C(=O)/C(=C/c2cccn2C)C1,5.36
CHEMBL1399957,CCC(C)Sc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1.O=C(O)C(F)(F)F,5.43
CHEMBL1360031,Brc1cc(Br)c2nc(-c3ccc(N4CCOCC4)cc3)ccc2c1,5.63
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.97
CHEMBL1573592,CC(=O)Oc1ccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)cc1,5.39
CHEMBL1332454,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,5.24
CHEMBL1417212,COc1ccccc1N1N=C(c2cccs2)CC1c1ccccc1,5.44
CHEMBL1991303,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cc2ccccc2o1,5.52
CHEMBL1301371,Cc1cccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,5.26
CHEMBL1704261,CCCC(=O)NC1=C(Cl)C(=O)c2ccccc2C1=O,5.17
CHEMBL1993431,COc1cc(/C=C/c2ccc3c(Br)cc(Br)c(O)c3n2)ccc1O,5.12
CHEMBL1308255,O=C(/C=C/c1cn(CC(O)CN2CCCCCC2)c2ccccc12)c1cccs1,5.08
CHEMBL1476225,Fc1ccc(-[n+]2nc(Nc3ccccc3)sc2-c2c3ccccc3cc3ccccc23)cc1.[Cl-],5.24
CHEMBL1723955,O=C1C(Cl)=C(NCCc2ccccc2)C(=O)c2ccccc21,4.75
CHEMBL1704703,O=C1C=CC2(C=C1)O[C@H](Cc1ccccc1)[C@@H](Cc1ccccc1)O2,4.66
CHEMBL3195010,COc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2)cc1O,4.97
CHEMBL1534986,Cc1ccc(C(=O)O)cc1N1C(=O)c2cccc3c([N+](=O)[O-])ccc(c23)C1=O,5.13
CHEMBL432044,O=C1Cc2ccccc2C(=O)N1c1ccccc1,5.4
CHEMBL1538643,CCCCN(C)CC(O)Cn1cc(/C=C/C(=O)c2cccs2)c2ccccc21,5.12
CHEMBL1460029,O=c1oc2ccccc2c(Cl)c1CN1CCCCC1,5.22
CHEMBL1308404,O=[N+]([O-])c1c(Nc2ccc(O)cc2)cc(Cl)c2nonc12,5.2
CHEMBL1518077,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,5.03
CHEMBL1526855,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,5.28
CHEMBL1301731,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,5.32
CHEMBL1301723,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,4.8
CHEMBL1607132,CCC(=O)c1ccc(/C=C/c2nc3ccccc3n2C)o1,5.29
CHEMBL1705527,COc1cc2oc3cc(C#Cc4ccc(N)cc4)ccc3c(=O)c2cc1OC,5.44
CHEMBL1554784,O=C(NCc1cccc(C(F)(F)F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.54
CHEMBL1316002,Cn1c2ccccc2c(=O)c2ccc(C#Cc3ccc(N)cc3)cc21,5.28
CHEMBL1523192,COc1ccc(OC)c(/C=C/c2nc3ccccc3nc2O)c1,5.07
CHEMBL1999014,O=[N+]([O-])c1ccc(-c2ccc(/C=N/Nc3nc(NCc4ccccc4)nc(N4CCOCC4)n3)o2)cc1,5.33
CHEMBL1428095,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,5.12
CHEMBL1460491,N#Cc1sc2nc(-c3ccccc3)cc(-c3ccco3)c2c1N,5.14
CHEMBL1342053,CCn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,4.54
CHEMBL1535546,CN1/C(=C/C(=O)c2nc(S(C)(=O)=O)ncc2Cl)C(C)(C)c2ccccc21,5.21
CHEMBL1417970,CCOC(=O)CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,4.84
CHEMBL1725771,CC(C)CCN1C(=O)c2cccc3c(N)ccc(c23)C1=O,5.32
CHEMBL1706548,CC(=O)Nc1ccc2c(=O)n(-c3ccccc3)sc2c1,4.84
CHEMBL1726287,O=C(NCc1ccco1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.36
CHEMBL2005437,Cc1cccc(C)c1-n1c(C)cc(/C=N\Nc2ccc([N+](=O)[O-])cn2)c1C,5.39
CHEMBL601543,CCN1/C(=C/C=C/c2oc3ccc(-c4ccccc4)cc3[n+]2CC)Oc2ccc(-c3ccccc3)cc21.CCOS(=O)(=O)[O-],4.97
CHEMBL1428415,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,5.1
CHEMBL1707429,Cc1ccc(S(=O)(=O)C=CS(=O)(=O)c2ccc(C)cc2)cc1,4.87
CHEMBL1484327,COc1ccc(-c2cc3ccc(O)cc3oc2=O)cc1OC,5.28
CHEMBL1520346,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,5.59
CHEMBL1418162,CC(=O)Oc1cccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)c1,5.35
CHEMBL1539522,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3C)ncc2Cl)cc1C,4.94
CHEMBL1418079,OCCNc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12,5.64
CHEMBL1513846,COC(=O)c1c(-c2ccc(N(C)C)cc2)sc2ccc(OC)cc12,5.44
CHEMBL1405830,Nc1c(C(=O)N2CCCC2)sc2nc(-c3ccccc3)ccc12,4.91
CHEMBL1727091,C=C1C(=O)C23C(O)C1CCC2C12CCCC(C)(COC(C)=O)C1C(O)C3(O)OC2,4.49
CHEMBL1578341,CCOC(=O)COc1ccc2ccccc2c1/C=C/[N+](=O)[O-],4.52
CHEMBL1500409,Cn1c(-c2c(N)n(-c3ccccc3)c3nc4ccccc4nc23)nc2ccccc21,5.42
CHEMBL1406130,O=c1c2cc(F)ccc2sn1-c1ccccc1,4.64
CHEMBL1574879,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccccc2)cn1,4.8
CHEMBL1418428,Cc1cccc(N2C(=O)/C(=C\c3ccc(OC(F)F)cc3)c3ccccc3C2=O)c1,5.41
CHEMBL1608420,COc1ccccc1N1C(=O)C2C(C(=O)c3ccccc3)=NN(c3ccccc3)C2C1=O,5.03
CHEMBL1728153,O=C1C=CC(=O)N1CCCCCCCCCCN1C(=O)C=CC1=O,4.79
CHEMBL1608392,CN(c1ccccc1)c1ccc(/C=C/[N+](=O)[O-])cc1,4.73
CHEMBL1585390,CNc1cc(Cl)c2nonc2c1[N+](=O)[O-],5.33
CHEMBL1790039,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O,5.32
CHEMBL1480031,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc3ccccc3c2)n1,5.15
CHEMBL1491686,CCCCNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,5.48
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.11
CHEMBL1418643,COc1cccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)c1,5.05
CHEMBL1300370,O=C1Nc2ccc(Br)cc2C12NNc1ccccc1O2,4.93
CHEMBL179512,COc1cc(/C=C/C(O)=C/C(=O)/C=C/c2ccc(O)cc2)ccc1O,5.09
CHEMBL518575,Cn1cccc1/C=C1\CCC/C(=C\c2cccn2C)C1=O,4.96
CHEMBL1578982,Cc1ccc(S(=O)(=O)N[C@H](C(=O)Oc2ccc3c(C(F)(F)F)cc(=O)oc3c2)c2ccccc2)cc1,5.43
CHEMBL1558462,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(OC(F)F)cc2)n1,5.18
CHEMBL1343392,Cc1ccc(C(=O)OCn2ncc(Cl)c(Cl)c2=O)cc1,4.31
CHEMBL1566610,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@@]34C)[C@H]12,4.75
CHEMBL508338,,4.77
CHEMBL1303426,Cc1c(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C,5.22
CHEMBL1508208,CS(=O)(=O)c1sc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1N,4.79
CHEMBL1586067,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1cccc(O)c1,5.28
CHEMBL1579061,CN(C)C=O.CN(C)c1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc(C(=O)O)cc2)cc1,5.05
CHEMBL1570323,CC[C@H](C)/C=C(C)/C=C/C1=CC2=CC(=O)[C@]3(C)OC(=O)[C@@H](C(C)=O)[C@@H]3C2=CO1,5.05
CHEMBL1429929,CCOC(=O)CCS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,4.55
CHEMBL1469035,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])s1,4.86
CHEMBL1372650,N#Cc1ccc(-c2ccco2)nc1SCC(=O)c1ccc(Cl)cc1,4.99
CHEMBL1540557,CCC1(C)OC(c2ccccc2)=C/C(=C/C=C2C(=O)NC(=O)NC2=O)O1,5.04
CHEMBL1710816,COc1cc(N2C(=O)C=CC2=O)ccc1N1C(=O)C=CC1=O,4.96
CHEMBL1406758,N#C/C(=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1)c1nc2ccccc2s1,5.29
CHEMBL1980369,COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1-c1cccc(Cl)c1.O=C(O)C(F)(F)F,5.17
CHEMBL1508593,COc1ccc(-c2c(Sc3cccc(C(F)(F)F)c3)c3ccc(OC)cc3[s+]2[O-])cc1,5.44
CHEMBL1462078,Nc1c(C(=O)c2cccs2)sc2nsc(SCCN3CCCCC3)c12,5.0
CHEMBL3189224,CCCCCCSc1cc(-c2nc3cnccn3c2NCCCC)ccc1OC.O=C(O)C(F)(F)F,5.13
CHEMBL1351081,Cc1ccc(NC(=O)c2cc(N3C(=O)C=CC3=O)ccc2N2CCOCC2)cc1Cl,5.02
CHEMBL1711797,C=C1C(=O)c2sccc2C(c2ccc(OC)c(OC)c2)C1COC(C)=O,4.67
CHEMBL1711514,O=[N+]([O-])c1ccc([S+]([O-])Cc2ccccc2)c([N+](=O)[O-])c1,4.63
CHEMBL1609419,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],5.0
CHEMBL1508875,Nc1c(C(=O)Nc2ccccc2F)sc2nc(-c3cccnc3)ccc12,4.85
CHEMBL1731330,CC(O)CN(CC(C)O)c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,5.29
CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,4.67
CHEMBL1899958,COc1ccccc1NS(=O)(=O)c1cc([N+](=O)[O-])ccc1N/N=C/c1c[nH]c2ccccc12,5.56
CHEMBL1462613,COc1ccc(C(=O)c2sc3nc(-c4ccc(OC)cc4)ccc3c2N)cc1,5.35
CHEMBL1984244,CCCCNc1c(-c2ccc(SC3CCCCC3)cc2)nc2cnccn12.O=C(O)C(F)(F)F,5.43
CHEMBL1446199,CC(C)CNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,5.45
CHEMBL1524932,COCCCn1c(N)c(-c2nc3ccccc3n2C)c2nc3ccccc3nc21,5.13
CHEMBL3199893,CNC(=S)N/N=C/c1ccc(OCc2ccccc2)c(Br)c1,5.11
CHEMBL137913,CN(C)c1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,5.32
CHEMBL1712229,Nc1ccc2nc(-c3ccccc3)cnc2c1,5.14
CHEMBL1732235,O=c1c(Br)ccc(Br)cc1Br,5.21
CHEMBL1452132,CN(C)c1ccc(/C=C/C(=O)c2cccc(Br)c2)cc1,5.25
CHEMBL1571123,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,5.08
CHEMBL1430995,Cc1ccc(N2C(=O)Cc3ccccc3C2=O)cc1,5.34
CHEMBL1370844,O=[N+]([O-])c1ccc(N(c2ccccc2)c2ccccc2)cc1,5.16
CHEMBL1564153,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1ccccc1O,5.12
CHEMBL1375338,CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,4.56
CHEMBL1532571,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(Br)ccc(c23)C1=O,5.24
CHEMBL1541918,CC(=O)c1sc2nc(-c3ccc(C)cc3)c3c(c2c1N)CCCC3,5.43
CHEMBL1688693,Cc1cc2nc(/C=C/c3nc4cc(C)c(C)cc4[nH]3)[nH]c2cc1C,4.68
CHEMBL1345017,O=c1ccc2cc3c4c(c2o1)CCCN4CCC3,5.15
CHEMBL131770,O=C(/C=C(O)/C=C/c1ccc(O)cc1)/C=C/c1ccc(O)cc1,5.29
CHEMBL1734268,O=C1C=CC(=O)N1c1ccc2c(c1)C(NC(=O)C(F)(F)F)c1ccccc1-2,4.84
CHEMBL1510339,COC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,4.97
CHEMBL1567159,CN(CCO)c1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],5.05
CHEMBL1734763,O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,4.87
CHEMBL1449204,CCOC(=O)CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,4.72
CHEMBL1471341,CCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(C)cc2)n1,5.12
CHEMBL1734503,COc1ccc(C[C@@H]2OC3(C=CC(=O)C=C3)O[C@H]2Cc2ccc(OC)cc2)cc1,4.76
